time,bitly-bsky.app,bitly-facebook.com,bitly-instagram.com,bitly-substack.com,tco-bsky.app,tco-facebook.com,tco-instagram.com,tco-substack.com
2023-09-08T21,16.5,16.5,15.875,16.3,2535.5,2537.2,2537,2533.5
2023-09-08T22,79.6,73.4,73.25,76.8,2539.6,2539.4,2544.5,2539.6
2023-09-08T23,16,15.8,19,16.8,2538.8,2536.4,2539,2539.4
2023-09-09T00,11.6,12.4,13.5,12.2,2541.8,2544,2548,2547.2
2023-09-09T01,66.8,67,67.25,68.4,2554.2,2553.8,2556,2553
2023-09-09T02,74.4,74.4,74,73.8,2541.4,2540.8,2542.25,2537.6
2023-09-09T03,16.4,16,17,16.2,2537.8,2539,2543.75,2534.6
2023-09-09T04,15.4,15.8,15,15.2,2540.6,2541.2,2539,2540.4
2023-09-09T05,15.4,16.2,15.25,15,2533,2536.4,2538,2534.2
2023-09-09T06,15.6,17,17,17.8,2535.8,2539.6,2535.75,2536.2
2023-09-09T07,12.2,12.2,12.75,14.2,2536.6,2535,2536.25,2532.6
2023-09-09T08,73.4,75.2,74.25,74.6,2541,2544.2,2539,2541.4
2023-09-09T09,54.6,54.6,55.5,56.4,2548.2,2550.6,2550.25,2548.8
2023-09-09T10,67.6,67.6,67.25,66.8,2553.2,2554.6,2556.25,2552.8
2023-09-09T11,15.6,16.4,16.5,15.4,2534.6,2537.8,2537,2536.6
2023-09-09T12,15.8,15.8,16,16,2538,2539.6,2537,2536.2
2023-09-09T13,55.8,55.4,56.75,56,2553,2551.4,2551.5,2550.4
2023-09-09T14,74.2,75.2,73.5,75.8,2540.4,2541,2538.75,2541.6
2023-09-09T15,54.8,55.2,54.25,53.8,2555.8,2557.8,2556.5,2555.4
2023-09-09T16,10,11,11,12,2541.6,2541.8,2542.25,2548.4
2023-09-09T17,76,76,75.5,75.6,2560.8,2562,2560.25,2563.2
2023-09-09T18,14.8,15.4,15.5,14.4,2540.2,2536.4,2537.5,2546.2
2023-09-09T19,15.8,16.4,16.25,16.6,2542.4,2539.6,2536.25,2538.4
2023-09-09T20,16.2,15.6,16,16,2540.4,2542.8,2537,2539
2023-09-09T21,11.6,11.4,11.5,13.4,2539.6,2537.2,2539.25,2540.8
2023-09-09T22,53.8,53.8,54.25,54.2,2550.4,2552,2553,2551.4
2023-09-09T23,17.4,17,19,19.6,2545,2544.8,2544.25,2543.6
2023-09-10T00,73.6,73,73.25,74.8,2542.4,2541.8,2543,2540.8
2023-09-10T01,72.6,73.8,72.75,75,2539.8,2541,2543.75,2538.6
2023-09-10T02,20.4,17,16.25,19.8,2541.4,2541.6,2541.5,2539.2
2023-09-10T03,16.2,16.4,16.25,19.6,2542.8,2545.4,2543.25,2541.8
2023-09-10T04,73.2,73.6,73.5,75.4,2539.8,2542.2,2543.25,2540.6
2023-09-10T05,16.2,15.8,15.75,15.6,2534,2537.2,2537.25,2535.8
2023-09-10T06,11,14,11.5,13.2,2546.8,2540.6,2539,2539.8
2023-09-10T07,12.4,11.6,11.5,11.2,2535,2539.2,2534.5,2533.8
2023-09-10T08,54.4,54.8,55.5,55.2,2554.4,2555,2551,2551.2
2023-09-10T09,14.8,14.6,14.75,14.8,2533.2,2536.8,2536.5,2536.4
2023-09-10T10,15.4,17.2,15.5,15.4,2540.2,2539.6,2539.75,2545
2023-09-10T11,54.8,55.8,57.25,57,2554,2553.4,2553.75,2553
2023-09-10T12,74,74.2,74.75,79,2541,2542.8,2542.75,2543.6
2023-09-10T13,11.2,11,10.5,12.4,2536.8,2540,2539,2535.6
2023-09-10T14,55.6,55.4,56,55.2,2555.6,2554.4,2560.5,2554.2
2023-09-10T15,14.4,15,15.5,18,2536.2,2539.2,2537.25,2536.4
2023-09-10T16,10.8,10.4,11.5,11.4,2536.2,2536,2535.5,2535.8
2023-09-10T17,12.6,12,12.5,12,2537,2535.8,2534.5,2537.4
2023-09-10T18,74,74.2,73.5,75.2,2544.4,2539,2538.75,2542
2023-09-10T19,18.8,25.8,18.25,16.6,2536.2,2536,2536.5,2537.2
2023-09-10T20,66.2,67.6,66.25,66,2551.2,2554.2,2556.75,2556
2023-09-10T21,18,16,16.75,17.6,2609.8,2611.2,2611.5,2608.6
2023-09-10T22,73.2,73.4,73.5,74.6,2544.2,2547,2546.5,2543.2
2023-09-10T23,11.4,11.2,11,11,2580,2612.4,2606.5,2612
2023-09-11T00,74.4,74,74.75,75.8,2538.4,2543.4,2540.75,2540.4
2023-09-11T01,51.4,50.6,49.75,50.8,2538.8,2541.6,2542.25,2538.4
2023-09-11T02,16.2,15.6,17,20.8,2534.8,2538,2536.75,2539.2
2023-09-11T03,14.4,15.4,15,14.8,2534,2535.4,2534,2534.4
2023-09-11T04,67.2,67.4,67.25,67.8,2555.6,2558.4,2555.5,2558
2023-09-11T05,75.4,73.2,72.5,74.6,2538.2,2540.6,2541.25,2540.6
2023-09-11T06,15.6,15,15.5,17.8,2538.6,2538.2,2539.25,2540.2
2023-09-11T07,73.2,73.2,73.75,73.8,2536.8,2542.4,2539.5,2541.8
2023-09-11T08,16,16.2,16,15.8,2535.8,2537.4,2536,2534.2
2023-09-11T09,11,11.2,12.25,12.8,2537.4,2537.8,2532.75,2535.8
2023-09-11T10,73.8,73.8,74.5,76,2542.2,2542.2,2546.25,2542.8
2023-09-11T11,11,11.9,12,11.4,2536.9,2540.7,2538.5,2538.3
2023-09-11T12,11.2,12.4,11.75,13.2,2541.4,2540,2539.75,2540
2023-09-11T13,15.5,15.9,16.375,15.5,2537.4,2537.2,2539.75,2540.8
2023-09-11T14,14,11.8,10.75,10.8,2538.8,2538.2,2539,2539.8
2023-09-11T15,13,15,12,12.6,2537.2,2539.2,2540.25,2535.4
2023-09-11T16,15,15.4,14.5,14.4,2537,2537.2,2534,2537
2023-09-11T17,15.6,15,15.5,18.4,2537.4,2541.6,2539,2539.2
2023-09-11T18,55.2,55.8,56.75,57.8,2553.8,2552.2,2553.25,2552.8
2023-09-11T19,13.4,13,12,16.6,2539.4,2535,2538.5,2534.8
2023-09-11T20,12.6,12.6,11,15,2540.8,2542,2544,2542.6
2023-09-11T21,17.2,17.6,17.75,21.6,2538.6,2536.8,2537.25,2537.6
2023-09-11T22,55.4,55.8,55.25,56.8,2557.2,2558.6,2559,2554.2
2023-09-11T23,15.8,16.2,16,16.4,2541.2,2542.4,2545.25,2540.8
2023-09-12T00,66.2,66.8,66.75,67.2,2553.6,2554.6,2557,2554.6
2023-09-12T01,12.4,13,12.25,12.6,2544.2,2543,2541.25,2543.8
2023-09-12T02,12,13.8,11.25,14,2539.4,2535.4,2534,2534.8
2023-09-12T03,73.6,74.4,74,75.6,2540.2,2543.6,2538.5,2541.4
2023-09-12T04,11,12.4,11.5,10.8,2534.6,2535,2536.5,2535.8
2023-09-12T05,11.2,12.2,11.25,10.6,2541,2540.2,2539.75,2539.6
2023-09-12T06,54.8,55.4,55,54.6,2557,2558,2557.75,2557
2023-09-12T07,54.8,54.8,54.75,56,2550.2,2552.4,2552.25,2553.6
2023-09-12T08,73.4,73.6,73,76.2,2540.2,2542.2,2541,2540.4
2023-09-12T09,74,74.2,73.75,75.6,2541,2539.8,2541.75,2539.6
2023-09-12T10,11.6,12.6,12.75,13,2538.8,2539,2538,2536
2023-09-12T11,73.4,73,73.25,74.8,2542.8,2540.8,2545.75,2540
2023-09-12T12,73.2,73.8,74.25,73.6,2540.8,2542.4,2544,2540.2
2023-09-12T13,17,17.6,17,19.4,2541.8,2542.6,2539.5,2539.8
2023-09-12T14,67.2,67.8,67.75,69.2,2559.6,2556.8,2557.25,2558
2023-09-12T15,14.4,14.6,15,15.2,2551.6,2063.6,2584.25,2577.6
2023-09-12T16,74.4,74.8,73.25,75.6,2546,2544.4,2542,2543.2
2023-09-12T17,66.2,67.6,67,66.2,2551.8,2552.2,2554.5,2552.6
2023-09-12T18,51.8,50.4,50.25,50.8,2542.8,2541.2,2541.75,2540.8
2023-09-12T19,16.2,15.4,15.5,20.2,2535,2534.2,2535.25,2532.8
2023-09-12T20,15.8,16.2,16.5,18.2,2532.8,2534.6,2536.5,2536.2
